,id_x,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,kitchen_clusterized,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,state_building_clusterized,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income,id_y,_merge
6,39273000,77000,APARTMENT,FLAT_STUDIO,Wallonia,Hainaut,Mons,7012,50.4480875,3.8930226,,99,,2,2,MISSING,MISSING,0,0,0,0,0,0,0,0,MISSING,MISSING,551,G,GAS,1,1,,left_only
26,22887000,79000,APARTMENT,APARTMENT,Wallonia,Hainaut,Charleroi,6032,50.3992946,4.4255255,1961,70,,,1,MISSING,MISSING,0,0,0,0,0,0,0,0,GOOD,Yes,,MISSING,MISSING,1,743,,left_only
79,72313000,79900,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6020,,,,46,17,2,2,MISSING,MISSING,0,0,0,0,0,0,0,1,MISSING,MISSING,236,C,GAS,1,178,,left_only
102,11239000,80000,APARTMENT,TRIPLEX,Wallonia,Hainaut,Charleroi,6000,,,,120,,,2,MISSING,MISSING,0,0,0,0,0,0,0,1,MISSING,MISSING,,MISSING,MISSING,0,,,left_only
104,30304000,80000,HOUSE,BUNGALOW,Wallonia,Luxembourg,Marche-en-Famenne,6940,50.3434366,5.4248999,,74,0,4,2,MISSING,MISSING,0,0,1,,0,0,0,1,MISSING,MISSING,,MISSING,GAS,0,,,left_only
106,11603000,80000,HOUSE,CHALET,Wallonia,Luxembourg,Marche-en-Famenne,6940,50.3434366,5.4248999,,74,0,4,2,INSTALLED,Yes,0,0,1,,0,0,0,1,MISSING,MISSING,,MISSING,GAS,0,,,left_only
108,8889000,80000,HOUSE,FARMHOUSE,Wallonia,Namur,Dinant,5560,50.1664213,5.0886512,,,65,4,0,MISSING,MISSING,0,0,0,0,1,65,0,1,MISSING,MISSING,,MISSING,MISSING,0,,,left_only
125,75558000,80000,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7340,,,,153,0,4,0,NOT_INSTALLED,No,0,0,0,0,0,0,0,1,MISSING,MISSING,1026,G,GAS,0,664,,left_only
127,67081000,80000,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7380,50.4071465,3.6869172,,174,148,2,5,USA_SEMI_EQUIPPED,Yes,0,0,0,0,0,0,0,0,TO_RENOVATE,No,490,F,FUELOIL,0,,,left_only
132,57671000,80000,HOUSE,HOUSE,Wallonia,Hainaut,Soignies,7070,50.4745477,4.092182,,156,133,3,3,NOT_INSTALLED,No,0,0,0,0,0,0,0,0,TO_RENOVATE,No,525,G,MISSING,0,33,,left_only
145,67869000,80000,HOUSE,HOUSE,Wallonia,Liège,Liège,4870,50.5692728,5.6800476,,65,823,3,1,NOT_INSTALLED,No,0,1,1,20,1,770,0,1,TO_RENOVATE,No,600,G,MISSING,1,133,,left_only
187,51701000,85000,APARTMENT,APARTMENT,Wallonia,Hainaut,Charleroi,6001,50.3992691,4.4507653,,80,,,2,MISSING,MISSING,0,0,0,0,0,0,0,1,MISSING,MISSING,146,B,GAS,0,1398,,left_only
197,27844000,85000,APARTMENT,APARTMENT,Wallonia,Hainaut,Soignies,7100,50.4775973,4.2114665,1977,,,,1,MISSING,MISSING,0,0,0,0,0,0,0,1,GOOD,Yes,230,C,MISSING,1,733,,left_only
223,59371000,85000,HOUSE,HOUSE,Wallonia,Hainaut,Ath,7800,50.6293307,3.7784255,,,0,,3,MISSING,MISSING,0,0,0,0,0,0,0,1,MISSING,MISSING,300,D,MISSING,0,376,,left_only
248,66699000,85000,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7012,,,,153,420,2,3,MISSING,MISSING,0,1,0,0,0,0,0,1,TO_RENOVATE,No,,MISSING,MISSING,1,450,,left_only
260,52294000,85000,HOUSE,HOUSE,Wallonia,Hainaut,Mouscron,7700,50.741093,3.2154034,,,220,2,4,MISSING,MISSING,0,0,0,0,1,,0,1,TO_RENOVATE,No,762,G,GAS,0,245,,left_only
272,15841000,85000,HOUSE,HOUSE,Wallonia,Hainaut,Thuin,7130,,,,137,100,3,4,SEMI_EQUIPPED,Yes,0,1,1,,0,0,0,1,TO_BE_DONE_UP,No,539,G,GAS,1,463,,left_only
291,54858000,85000,HOUSE,HOUSE,Wallonia,Namur,Dinant,5580,50.157145,5.2240464,,83,62,2,2,MISSING,MISSING,0,0,0,0,0,0,0,0,TO_RENOVATE,No,486,F,WOOD,1,359,,left_only
304,5051000,86000,HOUSE,HOUSE,Wallonia,Hainaut,Soignies,7110,50.467018,4.1261523,,,0,,3,MISSING,MISSING,0,0,0,0,0,0,0,1,MISSING,MISSING,599,G,MISSING,0,267,,left_only
312,37476000,87000,HOUSE,CHALET,Wallonia,Luxembourg,Marche-en-Famenne,6940,50.3434366,5.4248999,,54,0,,2,MISSING,MISSING,0,0,0,0,0,0,0,1,MISSING,MISSING,,MISSING,MISSING,0,,,left_only
336,24480000,89000,APARTMENT,APARTMENT,Wallonia,Hainaut,Charleroi,6032,,,,50,,,1,SEMI_EQUIPPED,Yes,0,1,0,0,0,0,0,1,JUST_RENOVATED,Yes,477,F,GAS,1,827,,left_only
353,27511000,89000,APARTMENT,FLAT_STUDIO,Flanders,West Flanders,Oostend,8434,51.1697856,2.7779143,1977,23,,2,0,MISSING,MISSING,1,0,1,,0,0,0,0,MISSING,MISSING,543,F,ELECTRIC,1,1,,left_only
388,35088000,89000,HOUSE,HOUSE,Wallonia,Hainaut,Thuin,6470,50.1659882,4.1826783,,110,220,2,3,MISSING,MISSING,0,1,0,0,0,0,0,1,MISSING,MISSING,540,G,MISSING,1,,,left_only
417,3183000,89999,HOUSE,HOUSE,Wallonia,Hainaut,Thuin,7140,,,1900,125,0,2,4,SEMI_EQUIPPED,Yes,0,0,0,0,0,0,0,1,TO_BE_DONE_UP,No,405,E,GAS,1,270,,left_only
422,59009000,90000,APARTMENT,APARTMENT,Wallonia,Hainaut,Charleroi,7170,50.4888963,4.2272612,,,,,1,MISSING,MISSING,0,0,0,0,0,0,0,1,MISSING,MISSING,619,G,FUELOIL,0,739,,left_only
423,54922000,90000,APARTMENT,APARTMENT,Wallonia,Hainaut,Mons,7012,50.4480875,3.8930226,,188,,2,2,MISSING,MISSING,0,0,0,0,0,0,0,0,MISSING,MISSING,272,D,GAS,1,1,,left_only
465,31585000,90000,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6183,50.4675604,4.3191818,,,0,2,2,MISSING,MISSING,0,0,1,1,1,1,0,1,TO_BE_DONE_UP,No,,MISSING,MISSING,0,275,,left_only
474,74919000,90000,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7012,,,,130,150,,2,MISSING,MISSING,0,1,0,0,0,0,0,1,MISSING,MISSING,504,F,MISSING,0,,,left_only
486,67165000,90000,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7370,,,1875,134,460,3,2,NOT_INSTALLED,No,0,1,1,7,1,266,0,1,TO_RENOVATE,No,441,F,MISSING,1,331,,left_only
495,76303000,90000,HOUSE,HOUSE,Wallonia,Hainaut,Thuin,6150,50.410266,4.2676966,,93,155,2,2,MISSING,MISSING,0,0,0,0,0,0,0,1,MISSING,MISSING,441,F,MISSING,0,373,,left_only
512,3617000,90000,HOUSE,HOUSE,Wallonia,Namur,Philippeville,5670,,,,80,59,3,2,INSTALLED,Yes,0,0,0,0,1,132,0,1,GOOD,Yes,328,D,FUELOIL,0,285,,left_only
524,9595000,93000,APARTMENT,FLAT_STUDIO,Brussels-Capital,Brussels,Brussels,1200,50.8507973,4.4507638,1990,20,,,1,MISSING,MISSING,0,1,0,0,0,0,0,0,MISSING,MISSING,317,F,MISSING,1,555,,left_only
563,17268000,95000,APARTMENT,FLAT_STUDIO,Flanders,West Flanders,Kortrijk,8530,50.8616452,3.3026798,,33,,2,0,SEMI_EQUIPPED,Yes,0,1,0,0,0,0,0,1,GOOD,Yes,597,F,ELECTRIC,0,,,left_only
567,54858000,95000,APARTMENT,FLAT_STUDIO,Wallonia,Hainaut,Ath,7800,50.6230745,3.7714483,1995,38,,3,0,INSTALLED,Yes,0,0,0,0,1,1,0,0,GOOD,Yes,,C,GAS,1,,,left_only
599,79373000,95000,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6000,50.4264454,4.4552587,,75,114,3,2,SEMI_EQUIPPED,Yes,0,0,0,0,1,64,0,0,TO_RENOVATE,No,1149,G,GAS,0,400,,left_only
681,9008000,95000,HOUSE,HOUSE,Wallonia,Namur,Philippeville,5620,50.2528731,4.6044358,,90,0,2,2,INSTALLED,Yes,0,0,1,5,0,0,0,1,MISSING,MISSING,351,E,GAS,1,,,left_only
689,30698000,96000,APARTMENT,FLAT_STUDIO,Wallonia,Liège,Liège,4040,50.6562096,5.6143687,,30,,2,0,MISSING,MISSING,0,0,1,8,0,0,0,0,GOOD,Yes,547,G,FUELOIL,0,458,,left_only
721,18597000,98000,APARTMENT,FLAT_STUDIO,Brussels-Capital,Brussels,Brussels,1040,,,,22,,,0,SEMI_EQUIPPED,Yes,0,1,0,0,0,0,0,1,TO_BE_DONE_UP,No,243,E,GAS,1,,,left_only
753,48944000,99000,APARTMENT,APARTMENT,Flanders,West Flanders,Oostend,8450,51.2506745,2.9687262,1985,28,,,1,INSTALLED,Yes,0,0,0,0,0,0,0,0,MISSING,MISSING,255,C,ELECTRIC,1,498,,left_only
765,53114000,99000,APARTMENT,APARTMENT,Wallonia,Hainaut,Mouscron,7700,50.72465,3.19233,,65,,,1,MISSING,MISSING,0,1,0,0,0,0,0,1,MISSING,MISSING,621,G,GAS,1,,,left_only
774,46809000,99000,APARTMENT,APARTMENT,Wallonia,Liège,Liège,4020,50.6365103,5.5846806,,43,,4,1,MISSING,MISSING,0,0,0,0,0,0,0,1,TO_BE_DONE_UP,No,544,G,GAS,1,410,,left_only
786,17219000,99000,APARTMENT,APARTMENT,Wallonia,Liège,Verviers,4900,50.492175,5.866947,,84,,2,1,MISSING,MISSING,0,0,0,0,0,0,0,1,GOOD,Yes,569,G,MISSING,1,465,,left_only
826,78855000,99000,APARTMENT,FLAT_STUDIO,Wallonia,Namur,Namur,5300,50.475978,5.0980494,1874,48,,3,1,MISSING,MISSING,0,0,0,0,0,0,0,0,MISSING,MISSING,407,E,PELLET,1,1,,left_only
831,14260000,99000,APARTMENT,SERVICE_FLAT,Flanders,Flemish Brabant,Halle-Vilvoorde,3090,50.7760319,4.530039,2010,34,,2,1,INSTALLED,Yes,0,1,0,0,0,0,0,1,AS_NEW,Yes,,MISSING,ELECTRIC,1,,,left_only
873,62282000,99000,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6200,50.3912836,4.5187399,,85,0,2,2,INSTALLED,Yes,0,0,0,0,0,0,0,1,TO_BE_DONE_UP,No,335,D,GAS,1,,,left_only
874,69371000,99000,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6200,50.408329,4.5254471,,110,0,2,2,SEMI_EQUIPPED,Yes,0,1,1,14,0,0,0,1,GOOD,Yes,298,D,GAS,1,342,,left_only
902,76991000,99000,HOUSE,HOUSE,Wallonia,Hainaut,Thuin,6150,50.4084237,4.2702926,,370,0,,0,MISSING,MISSING,0,0,0,0,0,0,0,1,TO_RENOVATE,No,,MISSING,MISSING,0,1013,,left_only
906,51483000,99000,HOUSE,HOUSE,Wallonia,Hainaut,Thuin,7141,,,,,0,,0,MISSING,MISSING,0,0,0,0,0,0,0,1,TO_RENOVATE,No,463,F,MISSING,0,,,left_only
932,25930000,99000,HOUSE,HOUSE,Wallonia,Luxembourg,Marche-en-Famenne,6900,50.1863984,5.3100965,,132,230,3,2,MISSING,MISSING,0,0,1,7,0,0,0,1,TO_RENOVATE,No,1135,G,MISSING,1,,,left_only
1003,39912000,100000,HOUSE,HOUSE,Flanders,Antwerp,Turnhout,2490,51.1723514,5.1906747,,134,1313,4,3,MISSING,MISSING,0,0,0,0,0,0,0,1,TO_RENOVATE,No,837,F,MISSING,0,713,,left_only
1018,29509000,100000,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6140,50.4108757,4.3145184,,,350,2,3,MISSING,MISSING,0,0,0,0,1,235,0,0,TO_RENOVATE,No,614,G,MISSING,0,446,,left_only
1039,73344000,100000,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7340,,,,85,0,2,2,USA_SEMI_EQUIPPED,Yes,0,0,1,,0,0,0,1,GOOD,Yes,376,E,MISSING,0,,,left_only
1053,24763000,100000,HOUSE,HOUSE,Wallonia,Hainaut,Thuin,6150,,,,147,300,3,3,NOT_INSTALLED,No,0,1,0,0,0,0,0,1,TO_RENOVATE,No,641,G,GAS,0,485,,left_only
1073,13108000,100000,HOUSE,HOUSE,Wallonia,Namur,Philippeville,5660,,,,,380,3,2,MISSING,MISSING,0,0,0,0,0,0,0,1,TO_RESTORE,No,,MISSING,MISSING,0,592,,left_only
1097,77007000,105000,APARTMENT,APARTMENT,Flanders,West Flanders,Veurne,8660,51.1048221,2.5958592,,40,,,1,NOT_INSTALLED,No,0,1,0,0,0,0,0,1,MISSING,MISSING,335,D,GAS,1,247,,left_only
1106,48665000,105000,APARTMENT,APARTMENT,Wallonia,Hainaut,Charleroi,6140,,,1980,,,2,2,INSTALLED,Yes,0,0,0,0,0,0,0,1,TO_BE_DONE_UP,No,211,C,GAS,1,684,,left_only
1121,21751000,105000,APARTMENT,APARTMENT,Wallonia,Namur,Namur,5080,50.4994758,4.8020163,1915,46,,3,1,INSTALLED,Yes,0,1,0,0,0,0,0,0,GOOD,Yes,618,G,ELECTRIC,1,455,,left_only
1136,18024000,105000,APARTMENT,PENTHOUSE,Wallonia,Hainaut,Charleroi,6000,50.4239743,4.450563,1970,,,,1,INSTALLED,Yes,0,0,1,1,0,0,0,1,MISSING,MISSING,,F,FUELOIL,0,,,left_only
1197,73975000,105000,HOUSE,HOUSE,Wallonia,Liège,Liège,4340,50.7122,5.4675224,,97,0,2,2,INSTALLED,Yes,0,0,0,0,0,0,0,0,TO_BE_DONE_UP,No,385,E,MISSING,1,370,,left_only
1208,7624000,105000,HOUSE,HOUSE,Wallonia,Namur,Philippeville,5630,50.2245242,4.4117842,1850,153,332,2,3,MISSING,MISSING,0,0,0,0,0,0,0,1,TO_RENOVATE,No,929,G,ELECTRIC,0,339,,left_only
1301,16517000,109000,HOUSE,HOUSE,Wallonia,Liège,Liège,4610,50.6184246,5.6639319,,89,127,2,3,INSTALLED,Yes,0,0,1,30,0,0,0,0,TO_RENOVATE,No,761,G,FUELOIL,0,627,,left_only
1318,11285000,109900,HOUSE,MIXED_USE_BUILDING,Wallonia,Hainaut,Charleroi,6200,,,,,0,2,2,SEMI_EQUIPPED,Yes,0,0,0,0,0,0,0,1,TO_BE_DONE_UP,No,405,E,MISSING,1,892,,left_only
1329,11342000,110000,APARTMENT,APARTMENT,Flanders,Limburg,Hasselt,3550,51.0416528,5.3009728,1982,50,,,1,MISSING,MISSING,0,1,0,0,0,0,0,0,MISSING,MISSING,249,C,GAS,1,433,,left_only
1345,56405000,110000,APARTMENT,APARTMENT,Wallonia,Hainaut,Mons,7000,,,1969,73,,2,1,MISSING,MISSING,0,0,1,6,0,0,0,1,TO_BE_DONE_UP,No,309,D,MISSING,1,914,,left_only
1381,66065000,110000,APARTMENT,FLAT_STUDIO,Wallonia,Namur,Dinant,5580,50.1578652,5.2431988,2010,30,,2,1,INSTALLED,Yes,0,0,1,5,1,10,0,1,AS_NEW,Yes,343,E,ELECTRIC,1,472,,left_only
1383,19538000,110000,APARTMENT,FLAT_STUDIO,Wallonia,Walloon Brabant,Nivelles,1300,50.7119676,4.6109057,,46,,4,0,USA_SEMI_EQUIPPED,Yes,0,0,1,1,0,0,0,1,TO_BE_DONE_UP,No,722,G,GAS,1,,,left_only
1390,13475000,110000,APARTMENT,KOT,Flanders,West Flanders,Brugge,8000,51.1957328,3.2194248,2017,17,,4,1,INSTALLED,Yes,1,0,0,0,0,0,0,1,GOOD,Yes,71.55,A,GAS,0,,,left_only
1397,20555000,110000,HOUSE,BUNGALOW,Wallonia,Luxembourg,Neufchâteau,6927,50.0940047,5.1640162,1977,47,270,4,2,INSTALLED,Yes,1,0,1,15,1,270,0,0,AS_NEW,Yes,,MISSING,PELLET,1,252,,left_only
1423,25950000,110000,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6020,,,,117,0,3,2,MISSING,MISSING,0,0,1,,0,0,0,1,GOOD,Yes,457,F,MISSING,1,495,,left_only
1437,26117000,110000,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6240,50.4233916,4.5536009,,,0,2,2,MISSING,MISSING,0,0,1,,0,0,0,1,TO_RENOVATE,No,478,F,FUELOIL,1,267,,left_only
1441,69376000,110000,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7012,,,,123,280,2,2,MISSING,MISSING,0,1,0,0,0,0,0,1,TO_BE_DONE_UP,No,388,E,GAS,0,416,,left_only
1443,69320000,110000,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7030,50.4393769,4.0104448,,,90,2,2,MISSING,MISSING,0,0,0,0,0,0,0,1,MISSING,MISSING,245,C,GAS,1,153,,left_only
1455,74827000,110000,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7380,50.4045653,3.6743932,,133,145,2,3,MISSING,MISSING,0,0,1,21,1,60,0,1,TO_RENOVATE,No,406,E,GAS,1,451,,left_only
1476,33807000,110000,HOUSE,HOUSE,Wallonia,Liège,Liège,4020,50.6381557,5.5968606,,115,0,2,1,MISSING,MISSING,0,1,1,5,1,120,0,1,MISSING,MISSING,425,E,GAS,1,438,,left_only
1485,32839000,110000,HOUSE,HOUSE,Wallonia,Liège,Liège,4170,,,,277,541,2,5,SEMI_EQUIPPED,Yes,0,0,0,0,0,0,0,1,TO_RENOVATE,No,331,D,FUELOIL,1,679,,left_only
1507,70564000,112000,APARTMENT,KOT,Flanders,Antwerp,Turnhout,2440,51.1735342,4.978644,,,,4,1,MISSING,MISSING,1,0,0,0,0,0,0,1,JUST_RENOVATED,Yes,,MISSING,MISSING,0,,,left_only
1525,3039000,114900,APARTMENT,APARTMENT,Flanders,Antwerp,Turnhout,2440,51.1552497,4.9941512,1989,28,,3,1,SEMI_EQUIPPED,Yes,0,1,0,0,1,,0,0,GOOD,Yes,206,C,ELECTRIC,1,,,left_only
1551,9257000,115000,APARTMENT,APARTMENT,Wallonia,Hainaut,Mons,7000,,,1970,50,,2,1,INSTALLED,Yes,0,0,1,9,0,0,0,1,GOOD,Yes,277,D,GAS,1,676,,left_only
1563,22888000,115000,APARTMENT,APARTMENT,Wallonia,Liège,Liège,4020,50.647007,5.6016431,1958,90,,,2,MISSING,MISSING,0,1,1,2,0,0,0,0,TO_BE_DONE_UP,No,294,D,FUELOIL,0,800,,left_only
1567,27537000,115000,APARTMENT,APARTMENT,Wallonia,Liège,Verviers,4800,50.5897841,5.8606424,,,,,2,MISSING,MISSING,0,1,1,,0,0,0,1,MISSING,MISSING,304,D,GAS,0,,,left_only
1568,55754000,115000,APARTMENT,APARTMENT,Wallonia,Liège,Verviers,4800,50.5919565,5.8536878,,52,,2,1,MISSING,MISSING,0,0,0,0,0,0,0,0,GOOD,Yes,604,G,GAS,1,,,left_only
1592,19582000,115000,APARTMENT,FLAT_STUDIO,Wallonia,Liège,Liège,4000,50.6404916,5.5688603,,42,,2,0,INSTALLED,Yes,0,0,0,0,0,0,0,0,JUST_RENOVATED,Yes,162,B,MISSING,1,711,,left_only
1595,22897000,115000,APARTMENT,GROUND_FLOOR,Brussels-Capital,Brussels,Brussels,1080,,,,50,,2,0,INSTALLED,Yes,0,0,1,12,0,0,0,1,MISSING,MISSING,,MISSING,GAS,0,,,left_only
1634,72413000,115000,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7080,50.4114823,3.8772131,,84,0,2,1,INSTALLED,Yes,0,0,0,0,0,0,0,1,AS_NEW,Yes,418,E,ELECTRIC,1,287,,left_only
1640,50393000,115000,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7340,,,1959,120,240,3,2,INSTALLED,Yes,0,0,1,,0,0,0,1,TO_RENOVATE,No,271,D,GAS,1,654,,left_only
1648,44985000,115000,HOUSE,HOUSE,Wallonia,Hainaut,Mouscron,7700,,,1930,120,190,2,3,MISSING,MISSING,0,0,0,0,0,0,0,0,TO_BE_DONE_UP,No,373,E,MISSING,1,418,,left_only
1673,43001000,115000,HOUSE,HOUSE,Wallonia,Liège,Liège,4102,50.5966071,5.5316969,,125,353,4,6,SEMI_EQUIPPED,Yes,0,0,0,0,1,84,0,0,TO_RENOVATE,No,555,G,MISSING,0,,,left_only
1716,23319000,117000,HOUSE,HOUSE,Wallonia,Hainaut,Tournai,7730,,,1950,98,100,3,2,NOT_INSTALLED,No,0,0,0,0,0,0,0,0,TO_BE_DONE_UP,No,407,E,GAS,0,,,left_only
1770,67961000,119000,APARTMENT,APARTMENT,Wallonia,Liège,Liège,4020,50.6404262,5.5827986,2000,50,,2,1,INSTALLED,Yes,0,0,0,0,0,0,0,1,MISSING,MISSING,173,C,GAS,1,440,,left_only
1785,70009000,119000,APARTMENT,FLAT_STUDIO,Brussels-Capital,Brussels,Brussels,1080,50.8492043,4.3028037,1972,40,,2,0,INSTALLED,Yes,0,0,0,0,0,0,0,0,GOOD,Yes,370,G,GAS,0,889,,left_only
1865,1888000,119000,HOUSE,HOUSE,Wallonia,Hainaut,Tournai,7530,,,1950,154,935,3,3,NOT_INSTALLED,No,0,0,1,90,1,660,0,0,TO_RENOVATE,No,604,G,FUELOIL,1,282,,left_only
1868,52968000,119000,HOUSE,HOUSE,Wallonia,Liège,Liège,4020,50.6424784,5.6445087,,130,110,2,3,MISSING,MISSING,0,0,1,35,0,0,0,1,TO_RENOVATE,No,211,C,GAS,0,411,,left_only
1907,2032000,119900,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6200,,,1970,110,170,2,3,MISSING,MISSING,0,1,1,8,1,150,0,0,TO_BE_DONE_UP,No,482,F,MISSING,0,,,left_only
1915,28468000,119999,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6141,,,1940,130,379,2,2,SEMI_EQUIPPED,Yes,0,0,1,,1,250,0,1,TO_BE_DONE_UP,No,404,E,GAS,1,297,,left_only
1920,10735000,120000,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1080,50.8523122,4.3155964,,,,,2,INSTALLED,Yes,0,0,1,,0,0,0,1,MISSING,MISSING,201,D,MISSING,0,1256,,left_only
1943,27015000,120000,APARTMENT,APARTMENT,Wallonia,Hainaut,Tournai,7500,,,1950,63,,2,1,INSTALLED,Yes,0,0,0,0,0,0,0,1,GOOD,Yes,403,E,MISSING,0,,,left_only
1950,75620000,120000,APARTMENT,APARTMENT,Wallonia,Liège,Verviers,4800,50.5919565,5.8536878,,77,,2,2,INSTALLED,Yes,0,0,0,0,0,0,0,0,GOOD,Yes,129,B,GAS,1,,,left_only
1960,53182000,120000,APARTMENT,FLAT_STUDIO,Brussels-Capital,Brussels,Brussels,1090,50.8694096,4.329569,1990,40,,2,0,USA_SEMI_EQUIPPED,Yes,0,0,0,0,0,0,0,1,GOOD,Yes,265,E,ELECTRIC,1,,,left_only
1976,12380000,120000,HOUSE,APARTMENT_BLOCK,Wallonia,Liège,Verviers,4800,50.594438,5.8719684,,,135,2,0,MISSING,MISSING,0,0,0,0,1,75,0,1,TO_RENOVATE,No,,G,MISSING,0,612,,left_only
2016,55270000,120000,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6200,50.4213655,4.5271525,,,0,2,2,MISSING,MISSING,0,0,0,0,0,0,0,1,GOOD,Yes,329,D,GAS,1,624,,left_only
2032,62786000,120000,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7333,50.4624427,3.8207028,,130,193,3,3,MISSING,MISSING,0,0,0,0,0,0,0,0,GOOD,Yes,132,F,GAS,1,,,left_only
2046,46967000,120000,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7390,,,,189,140,3,3,MISSING,MISSING,0,1,1,,0,0,0,1,TO_RENOVATE,No,494,F,GAS,1,857,,left_only
2064,60171000,120000,HOUSE,HOUSE,Wallonia,Hainaut,Tournai,7500,,,,,0,2,2,MISSING,MISSING,0,1,0,0,0,0,0,1,MISSING,MISSING,419,E,GAS,1,371,,left_only
2071,5497000,120000,HOUSE,HOUSE,Wallonia,Liège,Liège,4032,,,,86,40,2,2,MISSING,MISSING,0,0,0,0,0,0,0,1,GOOD,Yes,187,C,MISSING,0,,,left_only
2082,22687000,120000,HOUSE,HOUSE,Wallonia,Liège,Verviers,4800,50.5805314,5.849905,,121,105,2,4,SEMI_EQUIPPED,Yes,0,0,0,0,0,0,0,1,TO_BE_DONE_UP,No,,MISSING,GAS,0,356,,left_only
2088,6942000,120000,HOUSE,HOUSE,Wallonia,Luxembourg,Neufchâteau,6880,49.8500383,5.2687892,1919,,668,4,4,MISSING,MISSING,0,0,0,0,0,0,0,1,TO_BE_DONE_UP,No,357,E,MISSING,1,731,,left_only
2118,44391000,123500,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1000,,,2019,18,,2,1,MISSING,MISSING,1,0,1,5,0,0,0,1,AS_NEW,Yes,96,C,GAS,0,,,left_only
2131,29677000,124900,HOUSE,HOUSE,Wallonia,Hainaut,Mouscron,7700,50.7446565,3.2127666,,147,0,,3,MISSING,MISSING,0,1,0,0,0,0,0,1,AS_NEW,Yes,717,G,GAS,1,976,,left_only
2168,48869000,125000,APARTMENT,APARTMENT,Wallonia,Hainaut,Soignies,7100,,,,68,,2,2,INSTALLED,Yes,0,1,0,0,0,0,0,1,GOOD,Yes,198,C,GAS,1,,,left_only
2174,22916000,125000,APARTMENT,APARTMENT,Wallonia,Hainaut,Tournai,7500,,,,72,,,2,NOT_INSTALLED,No,0,1,0,0,0,0,0,1,GOOD,Yes,444,F,MISSING,1,594,,left_only
2187,43245000,125000,APARTMENT,APARTMENT,Wallonia,Liège,Verviers,4800,50.5915429,5.877612,,50,,2,1,INSTALLED,Yes,0,0,1,,0,0,0,0,GOOD,Yes,178,C,GAS,1,598,,left_only
2200,69933000,125000,APARTMENT,DUPLEX,Wallonia,Namur,Namur,5001,,,,70,,3,2,SEMI_EQUIPPED,Yes,0,0,1,10,0,0,0,0,GOOD,Yes,249,C,FUELOIL,1,,,left_only
2227,68078000,125000,HOUSE,APARTMENT_BLOCK,Wallonia,Hainaut,Charleroi,6031,,,,174,1270,,5,MISSING,MISSING,0,1,0,0,0,0,0,1,JUST_RENOVATED,Yes,478,F,FUELOIL,1,,,left_only
2304,36760000,125000,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7370,,,,178,290,3,2,MISSING,MISSING,0,1,1,,0,0,0,1,TO_RENOVATE,No,436,F,GAS,1,470,,left_only
2337,27470000,125000,HOUSE,HOUSE,Wallonia,Liège,Liège,4032,,,,104,40,2,3,MISSING,MISSING,0,0,0,0,0,0,0,1,GOOD,Yes,194,C,MISSING,0,,,left_only
2344,4448000,125000,HOUSE,HOUSE,Wallonia,Liège,Liège,4102,50.6028616,5.5374431,,70,0,2,2,USA_SEMI_EQUIPPED,Yes,0,0,1,,0,0,0,1,GOOD,Yes,721,G,GAS,1,,,left_only
2391,37734000,126000,APARTMENT,APARTMENT,Wallonia,Liège,Liège,4000,50.646018,5.567794,,,,,1,MISSING,MISSING,0,0,0,0,0,0,0,1,MISSING,MISSING,,MISSING,MISSING,0,,,left_only
