,id_x,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,kitchen_clusterized,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,state_building_clusterized,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income,id_y,_merge
18385,49818000,235000,APARTMENT,SERVICE_FLAT,Flanders,East Flanders,Sint-Niklaas,9160,51.1171716,4.0090557,2015,62,,2,1,INSTALLED,Yes,0,0,1,10,0,0,1,1,AS_NEW,Yes,109,B,MISSING,1,727,,left_only
18388,45641000,235000,APARTMENT,SERVICE_FLAT,Flanders,Limburg,Maaseik,3940,51.1105222,5.3295958,2020,65,,4,1,INSTALLED,Yes,0,0,1,17,0,0,0,0,AS_NEW,Yes,50,A,MISSING,1,707,,left_only
18392,22981000,235000,APARTMENT,SERVICE_FLAT,Flanders,West Flanders,Veurne,8660,51.0948983,2.5676177,2018,,,,1,MISSING,MISSING,0,0,0,0,0,0,0,0,GOOD,Yes,50,A,MISSING,0,,,left_only
18407,54533000,235000,HOUSE,HOUSE,Brussels-Capital,Brussels,Brussels,1080,50.8610211,4.3415501,,110,46,2,2,MISSING,MISSING,0,0,0,0,0,0,0,1,TO_RENOVATE,No,512,G,GAS,1,,,left_only
18421,71134000,235000,HOUSE,HOUSE,Flanders,Antwerp,Turnhout,2300,51.306142,4.953341,,144,135,3,3,SEMI_EQUIPPED,Yes,0,1,1,,1,,0,0,TO_RENOVATE,No,557,F,GAS,1,,,left_only
18475,3881000,235000,HOUSE,HOUSE,Flanders,Limburg,Tongeren,3700,50.7614324,5.5082732,1994,161,0,3,2,INSTALLED,Yes,0,0,0,0,0,0,0,1,GOOD,Yes,676,F,FUELOIL,1,575,,left_only
18501,76465000,235000,HOUSE,HOUSE,Wallonia,Hainaut,Ath,7320,,,,189,810,3,4,INSTALLED,Yes,0,0,0,0,0,0,0,1,MISSING,MISSING,309,D,GAS,0,327,,left_only
18512,75170000,235000,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6010,50.3923461,4.4740642,,335,450,3,8,MISSING,MISSING,0,0,1,,0,0,0,1,TO_RENOVATE,No,510,F,MISSING,0,1322,,left_only
18537,2352000,235000,HOUSE,HOUSE,Wallonia,Liège,Liège,4032,50.6153553,5.6168795,,162,105,2,4,INSTALLED,Yes,0,0,0,0,0,0,0,1,GOOD,Yes,162,B,PELLET,1,371,,left_only
18538,70802000,235000,HOUSE,HOUSE,Wallonia,Liège,Liège,4040,50.6757032,5.6050313,,90,307,2,2,MISSING,MISSING,0,0,1,,1,223,0,0,GOOD,Yes,301,D,FUELOIL,1,976,,left_only
18548,28948000,235000,HOUSE,HOUSE,Wallonia,Liège,Verviers,4750,50.4355108,6.1623405,,150,329,4,3,SEMI_EQUIPPED,Yes,0,0,0,0,0,0,0,0,MISSING,MISSING,936,G,ELECTRIC,1,840,,left_only
18574,24578000,235000,HOUSE,HOUSE,Wallonia,Namur,Namur,5300,50.4940404,5.1096393,,155,295,3,3,INSTALLED,Yes,0,1,1,,1,,0,1,JUST_RENOVATED,Yes,174,C,GAS,1,,,left_only
18601,31516000,235000,HOUSE,VILLA,Flanders,West Flanders,Kortrijk,8510,50.7980126,3.221999,,,745,,3,MISSING,MISSING,0,1,0,0,0,0,0,1,MISSING,MISSING,,MISSING,MISSING,0,1122,,left_only
18604,58663000,235000,HOUSE,VILLA,Wallonia,Hainaut,Charleroi,6110,50.3718634,4.3578067,1976,,2000,4,3,SEMI_EQUIPPED,Yes,0,0,1,,0,0,0,1,GOOD,Yes,,MISSING,FUELOIL,1,775,,left_only
18650,48411000,236125,APARTMENT,APARTMENT,Wallonia,Hainaut,Charleroi,6230,50.504318,4.3841702,2023,97,,2,2,MISSING,MISSING,0,0,1,8,0,0,0,0,MISSING,MISSING,80,A,GAS,1,1,,left_only
18665,49959000,236500,APARTMENT,APARTMENT,Wallonia,Liège,Waremme,4280,,,,83,,3,2,MISSING,MISSING,0,1,0,0,0,0,0,1,MISSING,MISSING,,MISSING,GAS,1,,,left_only
18668,11278000,236547,APARTMENT,APARTMENT,Wallonia,Hainaut,Tournai,7500,50.6029651,3.3807481,,88,,,2,MISSING,MISSING,0,0,1,,0,0,0,1,MISSING,MISSING,,A,MISSING,1,,,left_only
18703,33609000,237000,HOUSE,HOUSE,Flanders,Antwerp,Turnhout,2340,51.3310583,4.7998491,,,0,3,3,INSTALLED,Yes,0,0,0,0,0,0,0,0,TO_RENOVATE,No,573,F,GAS,0,,,left_only
18714,71104000,237280,APARTMENT,APARTMENT,Flanders,West Flanders,Diksmuide,8610,51.0228704,3.0449328,,100,,,2,MISSING,MISSING,0,0,1,6,0,0,0,0,GOOD,Yes,,MISSING,GAS,1,,,left_only
18722,53827000,237500,APARTMENT,APARTMENT,Flanders,East Flanders,Oudenaarde,9600,50.7406284,3.6009169,,91,,2,2,INSTALLED,Yes,0,1,1,11,0,0,0,1,GOOD,Yes,,MISSING,MISSING,1,,,left_only
18734,49298000,237500,APARTMENT,APARTMENT,Wallonia,Luxembourg,Neufchâteau,6800,49.9148598,5.3594923,2023,,,4,2,INSTALLED,Yes,0,0,1,12,0,0,0,1,AS_NEW,Yes,,MISSING,GAS,1,,,left_only
18735,26498000,237500,APARTMENT,APARTMENT,Wallonia,Luxembourg,Neufchâteau,6800,49.9148598,5.3594923,2023,,,,2,INSTALLED,Yes,0,0,1,9,0,0,0,1,AS_NEW,Yes,,MISSING,GAS,1,,,left_only
18736,54591000,237500,APARTMENT,APARTMENT,Wallonia,Luxembourg,Neufchâteau,6800,49.9148598,5.3594923,2023,,,,2,INSTALLED,Yes,0,0,1,10,0,0,0,1,AS_NEW,Yes,,MISSING,GAS,1,,,left_only
18751,28538000,237500,HOUSE,HOUSE,Wallonia,Hainaut,Ath,7800,50.6134401,3.7953082,2024,115,205,,3,INSTALLED,Yes,0,1,1,,0,0,0,1,MISSING,MISSING,,MISSING,GAS,1,,,left_only
18781,45602000,238000,APARTMENT,APARTMENT,Wallonia,Hainaut,Charleroi,6180,,,,87,,2,2,HYPER_EQUIPPED,Yes,0,0,1,20,0,0,0,1,AS_NEW,Yes,,MISSING,ELECTRIC,1,,,left_only
18793,54202000,238000,HOUSE,HOUSE,Flanders,Antwerp,Antwerp,2610,51.1713358,4.397508,1950,110,130,2,2,INSTALLED,Yes,0,0,1,,0,0,0,1,TO_RENOVATE,No,,MISSING,GAS,0,,,left_only
18829,45331000,238500,HOUSE,HOUSE,Flanders,Limburg,Hasselt,3850,50.8767596,5.2403984,,86,0,3,1,INSTALLED,Yes,0,1,1,,0,0,0,0,JUST_RENOVATED,Yes,261,C,GAS,1,,,left_only
18830,56062000,238650,APARTMENT,APARTMENT,Wallonia,Hainaut,Charleroi,6230,50.5179766,4.3555015,2023,71,,,1,USA_INSTALLED,Yes,0,0,1,36,0,0,0,0,AS_NEW,Yes,108,B,GAS,1,,,left_only
18871,53372000,239000,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1080,50.86408,4.3436005,1980,93,,2,2,MISSING,MISSING,0,0,0,0,0,0,0,0,GOOD,Yes,156,D,GAS,1,,,left_only
18879,76738000,239000,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1082,,,,102,,3,3,INSTALLED,Yes,0,0,1,11,0,0,0,1,MISSING,MISSING,280,F,GAS,1,1472,,left_only
18886,14880000,239000,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1090,,,1956,80,,,1,HYPER_EQUIPPED,Yes,0,0,1,3,0,0,0,1,GOOD,Yes,206,D,GAS,1,996,,left_only
18900,56770000,239000,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2020,51.1925752,4.3924084,,78,,2,2,SEMI_EQUIPPED,Yes,0,1,0,0,1,100,0,1,GOOD,Yes,273,C,FUELOIL,1,,,left_only
18920,16966000,239000,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2140,51.2182014,4.4462058,2017,77,,2,2,HYPER_EQUIPPED,Yes,0,0,1,8,0,0,0,0,AS_NEW,Yes,56,A,MISSING,1,,,left_only
18934,2702000,239000,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2600,51.1940505,4.4201392,2023,57,,2,1,HYPER_EQUIPPED,Yes,0,0,1,32,0,0,0,0,AS_NEW,Yes,118,B,GAS,1,,,left_only
18955,45141000,239000,APARTMENT,APARTMENT,Flanders,Antwerp,Turnhout,2480,51.2395889,5.1312514,2012,90,,,2,SEMI_EQUIPPED,Yes,0,0,0,0,0,0,0,1,MISSING,MISSING,120,B,GAS,1,,,left_only
18995,33133000,239000,APARTMENT,APARTMENT,Flanders,Limburg,Maaseik,3900,51.2096506,5.4221623,,82,,,2,MISSING,MISSING,0,0,1,9,0,0,0,1,MISSING,MISSING,,MISSING,ELECTRIC,1,,,left_only
19069,51486000,239000,APARTMENT,APARTMENT,Wallonia,Namur,Namur,5000,50.4449137,4.8741478,2022,86,,,2,USA_HYPER_EQUIPPED,Yes,0,0,1,5,0,0,0,1,AS_NEW,Yes,,MISSING,GAS,1,,,left_only
19086,58480000,239000,APARTMENT,DUPLEX,Flanders,East Flanders,Aalst,9300,50.9263351,4.0696449,1997,95,,2,2,INSTALLED,Yes,0,0,1,4,0,0,0,1,AS_NEW,Yes,144,B,GAS,1,,,left_only
